Date,Open
2012-05-16,1.972
2013-03-08,2.537333
2014-04-25,13.466667
2022-08-26,297.429993
2022-01-07,360.123322
2019-11-26,22.351334
2012-01-25,1.818
2012-06-01,1.902
2019-01-25,19.625999
2015-09-03,16.804001
2016-04-05,16.033333
2017-06-13,24.507999
2019-10-28,21.836
2022-01-14,339.959991
2010-09-07,1.374
2018-05-22,19.184
2016-08-05,15.333333
2014-07-16,14.788
2020-05-29,53.916668
2012-01-20,1.793333
2014-10-02,16.68
2013-05-22,5.758
2014-12-23,14.920667
2021-09-13,246.736664
2012-12-18,2.284
2021-12-27,357.890015
2010-12-14,2.019333
2020-07-29,100.066666
2021-10-07,261.820007
2013-09-12,10.933333
2019-05-29,12.473333
2020-06-17,65.847336
2022-04-13,327.026672
2014-04-07,13.720667
2020-11-05,142.766663
2010-10-18,1.368
2016-02-02,12.828
2011-08-04,1.767333
2018-03-28,17.638666
2019-03-15,18.900667
2020-08-18,126.599335
2020-03-04,50.930668
2021-05-12,200.830002
2015-09-17,17.597334
2021-03-03,229.330002
2014-01-07,9.841333
2010-08-23,1.272667
2022-05-16,255.720001
2018-04-12,20.154667
2019-11-15,23.375999
2014-06-26,15.811333
2017-08-11,23.798
2013-05-29,7.57
2013-11-29,8.651333
2020-12-18,222.96666
2020-02-07,48.703335
2019-06-07,13.666667
2014-06-20,15.234667
2022-04-27,299.526672
2021-02-04,285.0
2016-05-31,14.869333
2010-11-12,1.883333
2021-05-18,189.333328
2013-06-13,6.6
2021-01-15,284.0
2012-12-12,2.347333
2013-07-22,7.992667
2020-07-15,102.866669
2014-01-08,9.923333
2019-08-27,14.382667
2020-01-24,38.042
2020-05-07,51.813999
2012-06-08,1.924
2013-09-19,11.386667
2019-08-02,15.423333
2017-07-12,22.026667
2018-11-07,22.889334
2010-12-06,2.09
2012-05-23,2.037333
2020-12-23,210.733337
2021-10-19,292.51001
2017-08-07,23.823334
2015-08-06,16.636
2014-10-08,17.34
2020-01-31,42.666668
2022-09-19,300.089996
2012-09-10,1.946667
2016-05-27,14.999333
2011-10-03,1.663333
2010-09-22,1.391333
2022-07-27,263.809998
2016-11-16,12.176667
2012-09-06,1.866667
2012-11-26,2.14
2022-06-27,249.366669
2011-06-30,1.9
2011-12-16,1.919333
2011-01-10,1.878
2015-06-05,16.4
2010-11-10,1.632
2017-11-02,20.008667
2016-02-16,10.58
2012-07-26,1.993333
2022-02-28,271.670013
2013-07-12,8.366667
2011-03-01,1.603333
2010-12-21,2.12
2012-01-30,1.966
2020-11-04,143.539993
2015-06-15,16.646667
2020-09-21,151.043335
2012-12-27,2.233333
2017-06-07,23.756001
2010-10-14,1.4
2021-02-26,233.333328
2016-04-14,16.866667
2022-09-09,291.670013
2016-09-02,13.488667
2021-04-26,247.0
2017-01-06,15.128667
2017-03-21,17.521999
2011-09-08,1.572
2015-07-21,18.003332
2015-05-22,16.358667
2022-09-14,292.23999
2017-10-27,21.316668
2011-11-28,2.133333
2018-11-15,22.822001
2018-09-12,18.762667
2019-12-09,22.439333
2016-05-18,13.943333
2018-11-02,22.916
2012-07-11,2.104667
2021-01-07,259.209991
2015-01-20,12.924667
2012-04-19,2.183333
2018-11-14,22.846666
2013-07-25,8.026667
2014-01-24,11.856667
2020-05-20,54.700001
2011-05-12,1.804667
2017-09-11,23.423332
2021-04-30,222.529999
2018-11-06,22.604668
2019-09-18,16.333332
2021-05-21,198.703339
2013-08-20,9.91
2020-07-06,85.112663
2020-05-01,50.333332
2015-01-08,14.187333
2018-07-19,21.088667
2010-08-30,1.313333
2022-08-29,282.829987
2013-02-15,2.566667
2014-04-04,15.067333
2011-09-12,1.5
2012-05-18,1.891333
2019-02-11,20.773333
2015-12-08,15.168
2013-08-06,9.65
2010-11-29,2.360667
2020-11-09,146.5
2019-08-13,15.254
2015-05-28,16.468666
2013-12-27,10.353333
2015-03-16,12.8
2017-02-06,16.733334
2018-06-26,22.403334
2012-03-14,2.4
2017-10-16,23.584
2020-01-13,32.900002
2015-11-19,14.702667
2015-02-18,13.611333
2014-09-30,16.461332
2018-10-31,22.169333
2021-06-14,204.07666
2012-03-29,2.546
2022-05-10,273.103333
2011-01-13,1.797333
2020-03-20,29.213333
2016-11-10,12.736667
2013-05-16,6.313333
2021-06-03,200.600006
2010-09-16,1.476667
2020-05-18,55.185333
2014-05-19,12.714667
2020-11-10,140.029999
2011-08-17,1.759333
2019-04-18,18.082001
2011-05-04,1.785333
2022-06-08,240.08667
2013-09-10,10.763333
2011-04-01,1.83
2017-07-26,22.690666
2016-08-30,14.407333
2014-06-05,13.631333
2020-02-18,56.106667
2015-03-11,12.743333
2019-06-19,15.007333
2020-03-24,31.82
2016-07-01,13.742667
2013-05-07,4.133333
2010-08-24,1.283333
2011-05-24,1.801333
2010-07-19,1.424667
2014-08-19,17.257999
2013-04-15,2.9
2015-12-07,15.18
2016-03-28,15.440667
2020-05-06,51.766666
2018-06-28,23.243999
2022-04-12,332.546661
2018-12-24,20.9
2011-08-08,1.54
2010-12-17,2.089333
2012-02-13,2.103333
2016-05-20,14.466
2011-08-22,1.540667
2010-09-13,1.392667
2013-10-24,11.0
2016-07-06,14.0
2017-03-30,18.535999
2013-12-16,9.898667
2011-10-28,1.9
2016-01-22,13.653333
2013-05-20,6.074667
2015-12-16,14.806667
2020-10-09,143.376663
2022-06-21,224.603333
2019-09-17,16.164667
2021-11-09,391.200012
2021-04-19,239.866669
2011-07-28,1.84
2013-12-24,10.0
2013-01-11,2.269333
2010-10-05,1.41
2019-03-20,17.979334
2019-01-15,22.333332
2014-03-07,16.862667
2015-12-21,15.446
2011-10-24,1.858
